dataset,feature_set,model,raw_model,group_sparse_dimension,group_sparsity,pre_truncation_sparse_dimension,actual_sparse_dimension,pre_truncation_sparsity,actual_sparsity,dense_dimension,p5,p95,p95_over_p5,stats_path
cc3m,truncated,openai__clip-vit-large-patch14_text,topk_16384_openai__clip-vit-large-patch14_text_k_128,16384,128,16384,15490,128,50.4174,768,0.0168784,0.14567,8.63054,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-large-patch14_text_k_128/sparse_features_statistics.npz
cc3m,truncated,Qwen__Qwen3-1.7B-Base_text,topk_16384_Qwen__Qwen3-1.7B-Base_text_k_128,16384,128,16384,15321,128,75.1892,2048,0.010005,0.0818743,8.18334,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_Qwen__Qwen3-1.7B-Base_text_k_128/sparse_features_statistics.npz
cc3m,truncated,Qwen__Qwen3-4B-Base_text,topk_16384_Qwen__Qwen3-4B-Base_text_k_128,16384,128,16384,15425,128,67.0159,2560,0.0108446,0.0882932,8.14165,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_Qwen__Qwen3-4B-Base_text_k_128/sparse_features_statistics.npz
cc3m,truncated,BAAI__bge-base-en-v1.5_text,topk_16384_BAAI__bge-base-en-v1.5_text_k_32,16384,32,16384,13920,32,25.6157,768,0.0254295,0.311401,12.2457,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_BAAI__bge-base-en-v1.5_text_k_32/sparse_features_statistics.npz
cc3m,truncated,BAAI__bge-large-en-v1.5_text,topk_16384_BAAI__bge-large-en-v1.5_text_k_32,16384,32,16384,13831,32,27.3511,1024,0.026407,0.303213,11.4823,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_BAAI__bge-large-en-v1.5_text_k_32/sparse_features_statistics.npz
cc3m,truncated,codefuse-ai__F2LLM-1.7B_text,topk_16384_codefuse-ai__F2LLM-1.7B_text_k_32,16384,32,16384,16310,32,30.3556,2048,0.0306691,0.284788,9.28584,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_codefuse-ai__F2LLM-1.7B_text_k_32/sparse_features_statistics.npz
cc3m,truncated,codefuse-ai__F2LLM-4B_text,topk_16384_codefuse-ai__F2LLM-4B_text_k_32,16384,32,16384,16345,32,30.6297,2560,0.0327587,0.269746,8.23433,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_codefuse-ai__F2LLM-4B_text_k_32/sparse_features_statistics.npz
cc3m,truncated,facebook__dinov2-base_img,topk_16384_facebook__dinov2-base_img_k_32,16384,32,16384,16214,32,31.9995,768,0.0380363,0.247877,6.51686,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__dinov2-base_img_k_32/sparse_features_statistics.npz
cc3m,truncated,facebook__dinov2-large_img,topk_16384_facebook__dinov2-large_img_k_32,16384,32,16384,16219,32,31.8575,1024,0.0330927,0.262779,7.9407,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__dinov2-large_img_k_32/sparse_features_statistics.npz
cc3m,truncated,facebook__vit-mae-huge_img,topk_16384_facebook__vit-mae-huge_img_k_32,16384,32,16384,13601,32,20.1221,1280,0.0263153,0.130909,4.97464,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__vit-mae-huge_img_k_32/sparse_features_statistics.npz
cc3m,truncated,facebook__vit-mae-large_img,topk_16384_facebook__vit-mae-large_img_k_32,16384,32,16384,10839,32,19.6407,1024,0.0327,0.148462,4.54012,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__vit-mae-large_img_k_32/sparse_features_statistics.npz
cc3m,truncated,google__gemma-3-1b-it_text,topk_16384_google__gemma-3-1b-it_text_k_32,16384,32,16384,14404,32,27.3902,1152,0.0345314,0.217325,6.29354,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__gemma-3-1b-it_text_k_32/sparse_features_statistics.npz
cc3m,truncated,google__gemma-3-4b-it_text,topk_16384_google__gemma-3-4b-it_text_k_32,16384,32,16384,15952,32,27.6443,2560,0.0323284,0.203945,6.30854,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__gemma-3-4b-it_text_k_32/sparse_features_statistics.npz
cc3m,truncated,google__siglip2-base-patch16-256_img,topk_16384_google__siglip2-base-patch16-256_img_k_32,16384,32,16384,13684,32,29.3384,768,0.0396712,0.228396,5.75724,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__siglip2-base-patch16-256_img_k_32/sparse_features_statistics.npz
cc3m,truncated,google__siglip2-base-patch16-256_text,topk_16384_google__siglip2-base-patch16-256_text_k_32,16384,32,16384,14513,32,27.8885,768,0.0292539,0.282951,9.67224,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__siglip2-base-patch16-256_text_k_32/sparse_features_statistics.npz
cc3m,truncated,google__siglip2-large-patch16-256_img,topk_16384_google__siglip2-large-patch16-256_img_k_32,16384,32,16384,13259,32,29.343,1024,0.0411318,0.231333,5.62419,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__siglip2-large-patch16-256_img_k_32/sparse_features_statistics.npz
cc3m,truncated,google__siglip2-large-patch16-256_text,topk_16384_google__siglip2-large-patch16-256_text_k_32,16384,32,16384,14814,32,28.1013,1024,0.0329464,0.277085,8.41017,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__siglip2-large-patch16-256_text_k_32/sparse_features_statistics.npz
cc3m,truncated,laion__CLIP-ViT-B-32-laion2B-s34B-b79K_img,topk_16384_laion__CLIP-ViT-B-32-laion2B-s34B-b79K_img_k_32,16384,32,16384,14661,32,30.0119,512,0.0408718,0.213936,5.2343,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_laion__CLIP-ViT-B-32-laion2B-s34B-b79K_img_k_32/sparse_features_statistics.npz
cc3m,truncated,laion__CLIP-ViT-B-32-laion2B-s34B-b79K_text,topk_16384_laion__CLIP-ViT-B-32-laion2B-s34B-b79K_text_k_32,16384,32,16384,15403,32,27.2597,512,0.0270586,0.285249,10.5419,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_laion__CLIP-ViT-B-32-laion2B-s34B-b79K_text_k_32/sparse_features_statistics.npz
